nuts3_id,nuts3_gdp
AL011,411.05
AL012,1389.5
AL013,220.37
AL014,427.05
AL015,694.1
AL021,906.43
AL022,5829.22
AL031,468.76
AL032,1510.72
AL033,300.81
AL034,735.07
AL035,751.61
BE100,86650.96
BE211,53576.4
BE212,16178.62
BE213,22333.03
BE221,17809.58
BE222,6774.71
BE223,4918.2
BE231,7893.84
BE232,5895.14
BE233,2548.29
BE234,27824.47
BE235,3992.13
BE236,9405.92
BE241,32100.75
BE242,19649.95
BE251,11730.56
BE252,1458.3
BE253,3920.31
BE254,13170.59
BE255,5101.74
BE256,6530.67
BE257,4064.18
BE258,2349.86
BE310,21024.43
BE321,2020.32
BE322,12134.94
BE323,6974.61
BE324,2623.7
BE325,4112.13
BE326,2702.24
BE327,4473.26
BE331,2798.04
BE332,20468.46
BE334,1561.49
BE335,5726.17
BE336,2165.99
BE341,1587.49
BE342,1153.75
BE343,1747.49
BE344,1853.37
BE345,1008.99
BE351,2566.11
BE352,10055.91
BE353,1284.73
BEZZZ,281.46
CY000,22286.88
DK011,58622.78
DK012,46497.57
DK013,20311.26
DK014,1502.45
DK021,9440.47
DK022,21469.14
DK031,20723.21
DK032,37941.47
DK041,22789.87
DK042,42913.27
DK050,26559.43
DKZZZ,3976.15
EE001,18281.3
EE004,1961.51
EE006,1489.03
EE007,1635.45
EE008,4745.1
HU110,54092.58
HU120,15339.24
HU211,6199.72
HU212,4501.09
HU213,3876.85
HU221,7985.51
HU222,3416.74
HU223,3010.28
HU231,3654.92
HU232,2918.93
HU233,2460.05
HU311,6560.38
HU312,3385.18
HU313,1249.68
HU321,5618.84
HU322,3544.27
HU323,4839.01
HU331,6089.83
HU332,2925.87
HU333,4392.86
LU000,63516.34
ME000,4950.72
MT001,12855.85
MT002,586.15
MTZZZ,20.41
PT111,3729.97
PT112,7058.7
PT119,7174.83
PT11A,34314.75
PT11B,1135.32
PT11C,5272.19
PT11D,2881.17
PT11E,1712.24
PT150,10157.64
PT16B,6061.85
PT16D,7429.9
PT16E,8347.25
PT16F,5804.67
PT16G,3933.1
PT16H,1482.85
PT16I,3894.13
PT16J,3045.45
PT170,76767.6
PT181,2363.13
PT184,2325.77
PT185,4148.48
PT186,1700.68
PT187,2870.37
PT200,4469.05
PT300,5069.44
PTZZZ,150.53
SI031,1796.3
SI032,6135.06
SI033,1321.18
SI034,5393.38
SI035,701.01
SI036,1474.67
SI037,3341.27
SI038,853.09
SI041,18010.65
SI042,4276.19
SI043,2443.28
SI044,2646.46
SK010,26379.56
SK021,10840.66
SK022,8109.89
SK023,9940.26
SK031,10658.8
SK032,8175.24
SK041,8753.77
SK042,11007.01
TR100,208791.02
TR211,11609.06
TR212,2861.97
TR213,3241.58
TR221,8554.07
TR222,4571.17
TR310,41372.43
TR321,6581.31
TR322,7556.27
TR323,8661.65
TR331,11165.96
TR332,4132.09
TR333,3805.89
TR334,2541.2
TR411,28054.2
TR412,7691.02
TR413,1987.65
TR421,24654.27
TR422,7984.03
TR423,2683.71
TR424,2674.37
TR425,2307.57
TR510,62243.36
TR521,14272.29
TR522,1867.37
TR611,23546.07
TR612,2873.83
TR613,1798.3
TR621,12909.27
TR622,12470.02
TR631,8124.78
TR632,6166.24
TR633,2529.14
TR711,1758.09
TR712,2414.37
TR713,2054.98
TR714,1737.08
TR715,1287.61
TR721,9725.18
TR722,3537.47
TR723,1910.67
TR811,3450.5
TR812,1511.62
TR813,1005.65
TR821,2325
TR822,1218.39
TR823,1086.85
TR831,7346.32
TR832,2592.49
TR833,2651.36
TR834,1898.25
TR901,4744.75
TR902,3632.69
TR903,2215.6
TR904,2215.33
TR905,1378.73
TR906,748.55
TRA11,3637.81
TRA12,1750.77
TRA13,446.62
TRA21,1415.29
TRA22,1186.54
TRA23,959.43
TRA24,534.64
TRB11,3821.41
TRB12,3007.85
TRB13,1205.47
TRB14,650.2
TRB21,3325.93
TRB22,1498.45
TRB23,1216.67
TRB24,1347.39
TRC11,12128.21
TRC12,2209.08
TRC13,652.42
TRC21,5644.18
TRC22,6487.52
TRC31,3786.14
TRC32,2222.47
TRC33,2260.83
TRC34,1384.32
